Word,Frequency
ups,1
Exploits,1
enhance,24
mechanisms,48
Updated,8
visuals,1
Josh,1
Cappel,1
Step,4
inside,24
weary,3
Traveler,1
break,29
quick,56
Genshin,2
Tarot,1
60,17
90,20
minute,8
co-op,9
upgrading,15
simultaneous,20
creates,24
Characters,9
dealt,14
added,41
forming,9
split,21
phase,100
happens,14
allies,51
surviving,8
monsters,109
ranks,12
replenished,3
defeats,7
trigger,20
boss,10
ever,67
hits,13
0,9
HP,2
friends,40
command,122
falter,1
face,87
Teyvat,1
Currently,2
Swords,12
Minor,9
adds,34
Future,3
expansions,38
contain,22
44,16
bosses,8
ley,2
dendro,1
reactions,5
Follow,5
twitter,1
see,74
updates,10
STORY,1
Slowly,2
steadily,1
Moon,23
approaching,6
Earth,56
touched,2
surface,13
ripped,2
rift,3
continents,7
mountain,20
ranges,4
oceans,7
halt,6
dried-out,1
Ocean,4
Chaos,23
devastation,1
wrecked,3
inhabitants,13
grew,12
revealed,26
kami,1
Japanese,78
old,45
white,19
dragon,7
TSUKUYUMI,6
Exiled,1
night,48
sky,17
eons,1
ago,17
roused,1
warriors,20
tried,6
rid,2
godly,2
creators,6
'S,3
revenge,4
post-apocalyptic,14
humankind,6
verge,2
extinction,3
whereas,6
animal,24
species,43
mutated,2
stronger,32
fiercely,3
survival,30
domination,13
no-luck,7
boardgame,13
demands,12
particular,36
lies,19
clash,17
multifarious,1
asymmetrical,27
beginning,57
picks,5
Therefore,5
changes,43
depending,45
meet,37
Values,1
dont,18
guarantee,6
Numerous,5
test,23
shown,21
moments,14
notice,4
fellow,27
weaknesses,17
shape,19
creatures,64
stories,33
FACTIONS,1
NOMADS,2
former,17
soldiers,42
stationed,2
USS,1
Nomad,1
carrier,5
stranded,3
wastelands,4
Armed,2
agile,4
patriotic,1
remains,26
moon,13
nation,30
BOARLORDS,1
intelligent,4
boars,1
enter,37
pacific,1
region,69
Korean,10
peninsula,6
aim,25
replace,8
race,86
dominant,12
claiming,8
terraforming,8
rampart-like,1
homes,3
CYBERSAMURAI,1
satellites,1
supercomputers,1
artificial,5
intelligence,17
drones,4
bots,3
orbital,1
laser,5
threatening,4
anyone,8
tries,15
plant,14
flag,3
DARK,1
SEED,1
nest,1
roaches,1
insects,2
became,17
swarm,3
thus,42
relentlessly,4
overwhelm,3
adversarial,2
territories,23
sheer,2
GAMEPLAY,2
strengths,34
therefore,10
requiring,6
adjusted,4
gameboard,4
respectively,6
boards,38
explain,3
specifies,2
According,2
descending,2
initiative,24
marked,5
install,4
Homezones,1
start-areas,1
green,21
Every,52
F.,4
awarded,15
A-card,1
B-card,1
consists,38
following,38
phases,48
White,23
Phase,88
chose,7
emphasize,7
and/or,23
Impact,1
collected,14
moved,19
attacked,19
Onis,1
placed,74
attacks,82
GOAL,1
conquering,7
occupying,2
fulfilling,4
goals,55
END,1
beforehand,2
usually,24
4-Mar,14
MICROBADGES,1
Tsukuyumi,11
fan,14
logo,1
Boarlords,1
Cybersamurai,1
Seed,1
Nomads,2
Oni,2
Kampfgruppe,3
3,1
Lords,7
Lost,16
Fireborn,1
Children,1
Lion,3
Antietam,5
volume,27
Avalon,12
hill,5
Unlike,11
concentrate,5
two-week,1
military,131
objective,41
Maryland,6
Rebel,21
easy,67
learn,55
completion,8
beautiful,32
portray,10
northern,10
turnpikes,2
railroads,9
rivers,22
mountains,18
county,9
archives,3
armies,142
day,83
interactive,21
assures,2
competitive,47
article,1
detailing,4
day-to-day,3
activities,8
actual,27
interest,8
dynamic,34
FEATURES,3
Corps,30
Infantry,14
Cavalry,17
Artillery,17
values,28
forts,9
Railroad,9
marches,7
Burning,9
stations,13
Rain,4
paralysis,2
garrison,2
Harpers,3
Ferry,1
Flank,6
assaults,18
Depots,2
Foraging,2
Pennsylvania,4
Militia,4
C,13
Canal,1
aqueduct,1
SCENARIOS,5
